2023-05-15 14:48:10.836 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:48:11.306 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.766 seconds (JVM running for 1.074)
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system :Linux
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - Java version :1.8.0_362
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - Operating system architecture :amd64
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - Java Home :/usr/lib/jvm/java-8-openjdk-amd64/jre
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - System username :prajwal.sonawane
2023-05-15 14:48:11.309 [main] INFO  c.s.stt.SpeachToTextApplication - --------------------- System Information ---------------------
2023-05-15 14:48:11.310 [main] INFO  c.s.stt.user.AunthenticateUser - User Authenticating
2023-05-15 14:48:11.311 [main] INFO  c.s.stt.user.AunthenticateUser - reading user data from file
2023-05-15 14:48:11.444 [main] INFO  c.s.stt.user.AunthenticateUser - read data sucessfully from file
2023-05-15 14:48:11.444 [main] INFO  c.s.stt.SpeachToTextApplication - User Authenticated Sucessfully
2023-05-15 14:49:01.211 [main] INFO  c.s.stt.SpeachToTextApplication - Starting SpeachToTextApplication using Java 1.8.0_362 on LAP-PRAJWALS with PID 37261 (/home/prajwal.sonawane/Desktop/Speach-to-Text/target/classes started by prajwal.sonawane in /home/prajwal.sonawane/Desktop/Speach-to-Text)
2023-05-15 14:49:01.213 [main] INFO  c.s.stt.SpeachToTextApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-15 14:49:01.793 [main] INFO  c.s.stt.SpeachToTextApplication - Started SpeachToTextApplication in 0.887 seconds (JVM running for 1.199)
